ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page,action2_ts
1784157755.513476,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5176158,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.521415,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5254114,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5294034,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5333428,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.537306,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5411174,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5448978,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5485585,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5520873,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5557084,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.559122,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5625384,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5659344,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5693145,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.5726533,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784157755.575861,4,11.25,6.53356717268599,16.0,1,2,1,0,14.0,3.5,6.0,1.646240625180289,2.584962500721156,3.5527207718660527,1.1487181381904337,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
